Exposure,Gain,v,,,,
1000,10,68.54630086,0.655021253,e-v,,
2000,10,95.1483083,,,,
4000,10,133.2049867,,,0.822332399,e-v(g)
8000,10,182.7465067,,,,
16000,10,249.5171573,0.290334965,g-v,0.693344746,v-g€
32000,10,254,,,,
1000,20,118.8522226,,,,
2000,20,162.9536015,,,,
4000,20,221.9093793,-0.315676726,e-g,,
8000,20,254.0005289,,,,
1000,15,91.0269643,,,,
2000,15,125.2933847,,,,
4000,15,124.9034922,,,,
8000,15,232.6704449,,,,
16000,15,253.9999855,,,,
1000,5,52.23138741,,,,
2000,5,52.43586272,,,,
4000,5,73.82953822,,,,
8000,5,103.4354521,,,,
16000,5,142.9279724,,,,
32000,5,195.2355358,,,,
64000,5,253.7811254,,,,
1000,0,39.7811085,,,,
2000,0,56.69307985,,,,
4000,0,80.07636904,,,,
8000,0,111.0868264,,,,
16000,0,152.8933877,,,,
32000,0,211.2766309,,,,
64000,0,254.0042748,,,,
24000,0,185.4357167,,,,
12000,0,136.0555081,,,,
6000,0,97.7343746,,,,
