nose_x,nose_y,neck_x,neck_y,Rshoulder_x,Rshoulder_y,Relbow_x ,Relbow_y,Rwrist_x,RWrist_y ,LShoulder_x,LShoulder_y,LElbow_x,LElbow_y,LWrist_x,LWrist_y ,RHip_x,RHip_y,RKnee_x,RKnee_y,RAnkle_x,RAnkle_y,LHip_x,LHip_y,LKnee_x,LKnee_y,LAnkle_x,LAnkle_y ,REye_x,REye_y,LEye_x,LEye_y ,REar_x,REar_y,LEar_x,Lear_y,class
0.52,0.17,0.51,0.24,0.48,0.24,0.45,0.37,0.44,0.5,0.55,0.24,0.55,0.37,0.55,0.5,0.48,0.5,0.48,0.7,0.48,0.85,0.54,0.5,0.55,0.7,0.56,0.87,0.51,0.17,0.54,0.17,0.5,0.15,0.55,0.15,0
0.52,0.17,0.52,0.28,0.48,0.28,0.46,0.39,0.45,0.5,0.55,0.28,0.56,0.41,0.57,0.52,0.49,0.5,0.48,0.67,0.48,0.83,0.54,0.5,0.54,0.67,0.54,0.83,0.51,0.17,0.52,0.17,0.5,0.2,0.54,0.17,0
0.51,0.17,0.51,0.28,0.48,0.28,0.46,0.39,0.45,0.5,0.55,0.28,0.56,0.41,0.57,0.5,0.49,0.5,0.48,0.67,0.48,0.83,0.54,0.5,0.54,0.7,0.54,0.83,0.51,0.17,0.52,0.17,0.5,0.17,0.54,0.17,0
0.51,0.17,0.51,0.28,0.48,0.28,0.46,0.39,0.45,0.5,0.55,0.28,0.56,0.41,0.56,0.5,0.49,0.5,0.48,0.67,0.48,0.83,0.54,0.5,0.54,0.7,0.54,0.83,0.51,0.17,0.52,0.17,0.5,0.2,0.54,0.17,0
0.51,0.17,0.52,0.28,0.49,0.28,0.46,0.39,0.45,0.5,0.56,0.28,0.56,0.39,0.57,0.52,0.49,0.5,0.48,0.67,0.48,0.83,0.54,0.5,0.54,0.7,0.54,0.83,0.51,0.17,0.52,0.17,0.5,0.17,0.54,0.17,0
0.52,0.17,0.52,0.28,0.49,0.28,0.46,0.39,0.45,0.5,0.56,0.28,0.56,0.39,0.57,0.52,0.49,0.5,0.48,0.67,0.48,0.83,0.54,0.5,0.54,0.7,0.54,0.83,0.51,0.17,0.52,0.17,0.5,0.17,0.54,0.17,0
0.52,0.17,0.52,0.28,0.49,0.28,0.46,0.39,0.45,0.5,0.56,0.28,0.57,0.41,0.57,0.52,0.49,0.5,0.48,0.67,0.48,0.83,0.54,0.5,0.54,0.7,0.54,0.83,0.51,0.17,0.52,0.15,0.5,0.17,0.55,0.17,0
0.54,0.17,0.54,0.28,0.5,0.28,0.49,0.39,0.48,0.5,0.57,0.28,0.59,0.41,0.59,0.52,0.5,0.5,0.49,0.67,0.48,0.83,0.56,0.5,0.55,0.7,0.54,0.83,0.52,0.17,0.55,0.15,0.52,0.17,0.56,0.17,0
0.56,0.17,0.55,0.28,0.51,0.26,0.49,0.39,0.49,0.5,0.59,0.28,0.59,0.41,0.6,0.52,0.51,0.5,0.51,0.67,0.5,0.85,0.56,0.52,0.56,0.7,0.54,0.83,0.55,0.17,0.56,0.15,0.54,0.17,0.57,0.17,0
0.55,0.15,0.54,0.26,0.51,0.26,0.49,0.37,0.49,0.5,0.57,0.28,0.57,0.39,0.59,0.5,0.51,0.5,0.51,0.67,0.5,0.85,0.56,0.5,0.55,0.67,0.52,0.83,0.54,0.15,0.56,0.15,0.52,0.15,0.57,0.17,0
